image_path,defect_class,has_defect,dataset_source
Segmentation\models\PSPNet-Keras-tensorflow\example_images\ade20k.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_images\pascal_voc.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_images\test_pycaffe.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\ade20k_probs.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\ade20k_seg.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\ade20k_seg_blended.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\cityscapes_probs.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\cityscapes_seg.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\cityscapes_seg_blended.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\pascal_voc_probs.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\pascal_voc_seg.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\pascal_voc_seg_blended.jpg,No_Defect,False,uav_inspection
images\crack_image.png,No_Defect,False,uav_inspection
images\crack_typical_result.png,No_Defect,False,uav_inspection
images\crack_typical_results.png,No_Defect,False,uav_inspection
images\sliding_window_results.png,No_Defect,False,uav_inspection
images\sw2.png,No_Defect,False,uav_inspection
images\sw_approach.PNG,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\example_results\ade20k_seg_pycaffe.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\airplane.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\animal.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\apparel.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\arcade machine.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\armchair.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\ashcan.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\awning.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\bag.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\ball.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\bannister.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\bar.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\barrel.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\base.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\basket.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\bathtub.jpg,No_Defect,False,uav_inspection
Segmentation\models\PSPNet-Keras-tensorflow\utils\color150\bed.jpg,No_Defect,False,uav_inspection
