image_path,defect_class,has_defect,dataset_source
Negative\no_crack_0455.jpg,No_Defect,False,crack_detection
Positive\crack_0100.jpg,Crack,True,crack_detection
Positive\crack_0201.jpg,Crack,True,crack_detection
Positive\crack_0019.jpg,Crack,True,crack_detection
Positive\crack_0022.jpg,Crack,True,crack_detection
Negative\no_crack_0254.jpg,No_Defect,False,crack_detection
Positive\crack_0069.jpg,Crack,True,crack_detection
Negative\no_crack_0370.jpg,No_Defect,False,crack_detection
Positive\crack_0178.jpg,Crack,True,crack_detection
Negative\no_crack_0321.jpg,No_Defect,False,crack_detection
Positive\crack_0192.jpg,Crack,True,crack_detection
Negative\no_crack_0403.jpg,No_Defect,False,crack_detection
Negative\no_crack_0392.jpg,No_Defect,False,crack_detection
Positive\crack_0167.jpg,Crack,True,crack_detection
Negative\no_crack_0368.jpg,No_Defect,False,crack_detection
Negative\no_crack_0480.jpg,No_Defect,False,crack_detection
Positive\crack_0159.jpg,Crack,True,crack_detection
Negative\no_crack_0280.jpg,No_Defect,False,crack_detection
Positive\crack_0140.jpg,Crack,True,crack_detection
Positive\crack_0199.jpg,Crack,True,crack_detection
Negative\no_crack_0325.jpg,No_Defect,False,crack_detection
Negative\no_crack_0351.jpg,No_Defect,False,crack_detection
Negative\no_crack_0252.jpg,No_Defect,False,crack_detection
Negative\no_crack_0326.jpg,No_Defect,False,crack_detection
Positive\crack_0023.jpg,Crack,True,crack_detection
Negative\no_crack_0314.jpg,No_Defect,False,crack_detection
Positive\crack_0127.jpg,Crack,True,crack_detection
Negative\no_crack_0292.jpg,No_Defect,False,crack_detection
Positive\crack_0032.jpg,Crack,True,crack_detection
Negative\no_crack_0420.jpg,No_Defect,False,crack_detection
Positive\crack_0113.jpg,Crack,True,crack_detection
Positive\crack_0084.jpg,Crack,True,crack_detection
Negative\no_crack_0468.jpg,No_Defect,False,crack_detection
Positive\crack_0245.jpg,Crack,True,crack_detection
Positive\crack_0053.jpg,Crack,True,crack_detection
Positive\crack_0000.jpg,Crack,True,crack_detection
Negative\no_crack_0360.jpg,No_Defect,False,crack_detection
Negative\no_crack_0298.jpg,No_Defect,False,crack_detection
Negative\no_crack_0289.jpg,No_Defect,False,crack_detection
Positive\crack_0041.jpg,Crack,True,crack_detection
Negative\no_crack_0327.jpg,No_Defect,False,crack_detection
Negative\no_crack_0283.jpg,No_Defect,False,crack_detection
Positive\crack_0109.jpg,Crack,True,crack_detection
Negative\no_crack_0344.jpg,No_Defect,False,crack_detection
Negative\no_crack_0388.jpg,No_Defect,False,crack_detection
Negative\no_crack_0363.jpg,No_Defect,False,crack_detection
Positive\crack_0068.jpg,Crack,True,crack_detection
Negative\no_crack_0274.jpg,No_Defect,False,crack_detection
Negative\no_crack_0318.jpg,No_Defect,False,crack_detection
Negative\no_crack_0262.jpg,No_Defect,False,crack_detection
Negative\no_crack_0433.jpg,No_Defect,False,crack_detection
Positive\crack_0040.jpg,Crack,True,crack_detection
Positive\crack_0067.jpg,Crack,True,crack_detection
Positive\crack_0198.jpg,Crack,True,crack_detection
Positive\crack_0098.jpg,Crack,True,crack_detection
Positive\crack_0061.jpg,Crack,True,crack_detection
Positive\crack_0143.jpg,Crack,True,crack_detection
Negative\no_crack_0332.jpg,No_Defect,False,crack_detection
Negative\no_crack_0250.jpg,No_Defect,False,crack_detection
Positive\crack_0196.jpg,Crack,True,crack_detection
Positive\crack_0079.jpg,Crack,True,crack_detection
Positive\crack_0124.jpg,Crack,True,crack_detection
Positive\crack_0090.jpg,Crack,True,crack_detection
Positive\crack_0006.jpg,Crack,True,crack_detection
Negative\no_crack_0470.jpg,No_Defect,False,crack_detection
Negative\no_crack_0313.jpg,No_Defect,False,crack_detection
Positive\crack_0004.jpg,Crack,True,crack_detection
Negative\no_crack_0398.jpg,No_Defect,False,crack_detection
Negative\no_crack_0424.jpg,No_Defect,False,crack_detection
